timestamp,red_x,red_y,green_x,green_y
537600,210,646,197,620
540160,210,646,197,620
541952,210,646,197,620
543232,210,646,197,620
545792,210,646,197,620
547072,210,646,197,620
549888,210,646,197,620
550912,210,646,197,620
552192,210,646,197,621
554240,210,646,197,620
556032,210,646,197,620
557312,210,646,197,621
559360,210,646,197,621
561152,210,646,197,620
563200,210,646,197,620
565760,210,646,197,620
566784,210,646,197,620
568320,210,646,197,620
570880,210,646,197,620
571904,210,646,197,620
573440,210,646,197,621
575232,210,646,197,620
576512,210,646,196,620
578560,210,646,197,620
580352,210,646,197,620
581632,210,646,197,620
583680,210,646,197,620
585472,210,646,197,621
587008,210,646,197,620
588288,210,646,197,620
590592,210,646,197,621
592128,210,646,197,620
593408,210,646,197,620
595200,210,646,197,620
597248,210,646,197,621
598272,210,646,197,620
600320,210,646,197,621
601600,210,646,197,620
603392,210,646,197,620
606208,210,646,197,620
607488,210,646,197,620
609792,210,646,197,620
611328,210,646,197,620
612608,210,646,197,621
614400,210,646,197,620
615680,210,646,197,620
616960,210,646,197,621
619520,210,646,197,621
621568,210,646,197,620
623360,210,646,197,620
625920,210,646,197,620
627712,210,646,197,620
628992,210,646,197,620
631040,210,646,197,620
633600,210,646,197,620
634880,210,646,197,620
636928,210,646,197,620
638720,210,646,197,620
640768,210,646,197,621
643072,210,646,197,620
644608,210,646,197,620
646912,210,646,197,620
648192,210,646,197,620
650240,210,646,197,621
652032,210,646,197,620
653312,210,646,197,620
655360,210,646,197,620
656640,210,646,197,620
658432,210,646,197,620
660992,210,646,197,620
662272,210,646,197,621
664320,210,646,197,620
666112,210,646,197,621
667392,210,646,197,620
668928,210,646,197,620
671232,210,646,197,620
672512,210,646,197,620
674560,210,646,197,620
676352,210,646,197,620
677632,210,646,197,620
680192,210,646,197,620
681984,210,646,197,620
684288,210,646,197,620
686592,210,646,197,620
688128,210,646,197,621
689408,210,646,197,620
691712,210,646,197,620
693248,210,646,197,621
695552,210,646,197,620
696832,210,646,197,621
698368,210,646,197,620
700160,210,646,197,620
702208,210,646,197,620
704000,210,646,197,620
705792,210,646,197,621
707328,210,646,197,621
709632,210,646,197,621
710912,210,646,197,620
712960,210,646,197,621
714752,210,646,197,620
716800,210,646,197,620
718592,210,646,197,620
719872,210,646,197,620
721408,210,646,197,621
723712,210,646,197,620
724992,210,646,197,620
727808,210,646,197,620
728832,210,646,197,620
730880,210,646,197,620
732672,210,646,197,620
733952,210,646,197,621
736000,210,646,197,620
737792,210,646,197,620
739072,210,646,197,620
740608,210,646,197,620
742912,210,646,197,620
744704,210,646,197,621
747008,210,646,197,620
748800,210,646,197,620
750080,210,646,197,620
751872,210,646,197,620
753152,210,646,197,620
755200,210,646,197,620
756992,210,646,197,620
758784,210,646,197,620
761088,210,646,197,621
762880,210,646,197,621
764928,210,646,196,620
766720,210,646,197,620
768000,210,646,197,620
770560,210,646,197,620
771840,210,646,197,621
773120,210,646,197,620
775168,210,646,197,620
776960,210,646,197,620
779008,210,646,197,620
781312,210,646,197,620
782592,210,646,197,620
784128,210,646,197,620
785920,210,646,197,620
787712,210,646,197,620
789760,210,646,197,620
791552,210,646,197,620
793600,210,646,197,621
795392,210,646,197,620
796672,210,646,197,620
798208,210,646,197,620
800512,210,646,197,620
801792,210,646,197,621
803328,210,646,197,620
805120,210,646,197,620
806912,210,646,197,620
808448,210,646,197,620
810752,210,646,197,620
812032,210,646,197,620
814592,210,646,197,620
815872,210,646,197,620
817408,210,646,197,620
819712,210,646,197,620
820992,210,646,197,621
822528,210,646,197,620
824320,210,646,197,620
826112,210,646,197,620
827648,210,646,197,620
829952,210,646,197,620
831232,210,646,197,620
833792,210,646,197,620
835584,210,646,197,620
837888,210,646,197,620
838912,210,646,197,620
840704,210,646,197,620
843008,210,646,197,620
844032,210,646,197,620
845312,210,646,197,621
847872,210,646,197,620
849152,210,646,197,620
851968,210,646,197,620
852992,210,646,197,621
854784,210,646,197,620
857088,210,646,197,620
858112,210,646,197,620
859904,210,646,197,620
862208,210,646,197,620
863232,210,646,197,620
864512,210,646,197,620
867072,210,646,197,620
868352,210,646,197,620
869632,210,646,197,620
872192,210,646,197,620
873472,210,646,197,620
876288,210,646,196,620
877312,210,646,197,620
878592,210,646,197,620
881408,210,646,197,620
882432,210,646,197,621
883712,210,646,197,621
886272,210,646,197,620
888320,210,646,197,620
890368,210,646,197,620
891392,210,646,197,620
894208,210,646,197,621
