timestamp,red_x,red_y,green_x,green_y
16640512,327,572,298,569
16642304,327,572,298,569
16644352,327,572,298,569
16646144,327,572,298,569
16648448,327,572,298,569
16650240,327,572,298,569
16652032,327,572,298,569
16654592,327,572,298,569
16656384,327,572,298,569
16659200,327,572,298,569
16660992,327,572,298,569
16663040,327,572,298,569
16665344,327,572,298,569
16667648,327,572,298,569
16669952,327,572,298,569
16671232,327,572,298,569
16672768,327,572,298,569
16675072,327,572,298,569
16677120,327,572,298,569
16679424,327,572,298,569
16681728,327,572,298,569
16683520,327,572,298,569
16685312,327,572,298,569
16687872,327,572,298,569
16689152,327,572,298,569
16690432,327,572,298,569
16692992,327,572,298,569
16694272,327,572,298,569
16695808,327,572,298,569
16697600,327,572,298,569
16699392,327,572,298,569
16700928,327,572,298,569
16703232,327,572,298,569
16704512,327,572,298,569
16707072,327,572,298,569
16708864,327,572,298,569
16711168,327,572,298,569
16712960,327,572,298,569
16713984,327,572,298,569
16716181,327,572,298,569
16717824,327,572,298,569
16719104,327,572,298,569
16721152,327,572,298,569
16723712,327,572,298,569
16725760,327,572,298,569
16728064,327,572,298,569
16730368,327,572,298,569
16731392,327,572,298,569
16733184,327,572,298,569
16735488,327,572,298,569
16736512,327,572,298,569
16738304,327,572,298,569
16741120,327,572,298,569
16742912,327,572,298,569
16744960,327,572,298,569
16747264,327,572,298,569
16749568,327,572,298,569
16751360,327,572,298,569
16752384,327,572,298,569
16753920,327,572,298,569
16756224,327,572,298,569
16758528,327,572,298,569
16760320,327,572,298,569
16762112,327,572,298,569
16764672,327,572,298,569
16765952,327,572,298,569
16767232,327,572,298,569
16768768,327,572,298,569
16771072,327,572,298,569
16772608,327,572,298,569
16774400,327,572,298,569
16776192,327,572,298,569
16778240,327,572,298,569
16780544,327,572,298,569
16782080,327,572,298,569
16783360,327,572,298,569
16785664,327,572,298,569
16787200,327,572,298,569
16789760,327,572,298,569
16791808,327,572,298,569
16794112,327,572,298,569
16796928,327,572,298,569
16798720,327,572,298,569
16800512,327,572,298,569
16803072,327,572,298,569
16804864,327,572,298,569
16807168,327,572,298,569
16809472,327,572,298,569
16811008,327,572,298,569
16812800,327,572,298,569
16814592,327,572,298,569
16816128,327,572,298,569
16817920,327,572,298,569
16820480,327,572,298,569
16821760,327,572,298,569
16824064,327,572,298,569
16825600,327,572,298,569
16826880,327,572,298,569
16828672,327,572,298,569
16831232,327,572,298,569
16833792,327,572,298,569
16835328,327,572,298,569
16837632,327,572,298,569
16839680,327,572,298,569
16841472,327,572,298,569
16843264,327,572,298,569
16845568,327,572,298,569
16847360,327,572,298,569
16849920,327,572,298,569
16851200,327,572,298,569
16852992,327,572,298,569
16855552,327,572,298,569
16857344,327,572,298,569
16860160,327,572,298,569
16861952,327,572,298,569
16863232,327,572,298,569
16865792,327,572,298,569
16867584,327,572,298,569
16870400,327,572,298,569
16871680,327,572,298,569
16873728,327,572,298,569
16876032,327,572,298,569
16878080,327,572,298,569
16879360,327,572,298,569
16881664,327,572,298,569
16884480,327,572,298,569
16886272,327,572,298,569
16887808,327,572,298,569
16889600,327,572,298,569
16891392,327,572,298,569
16893440,327,572,298,569
16895232,327,572,298,569
16896512,327,572,298,569
16899072,327,572,298,569
16900864,327,572,298,569
16903168,327,572,298,569
16904960,327,572,298,569
16905984,327,572,298,569
16908800,327,572,298,569
16910080,327,572,298,569
16911104,327,572,298,569
16913920,327,572,298,569
16915712,327,572,298,569
16917760,327,572,298,569
16919552,327,572,298,569
16921600,327,572,298,569
16922880,327,572,298,569
16925184,327,572,298,569
16927232,327,572,298,569
16929792,327,572,298,569
16931840,327,572,298,569
16933632,327,572,298,569
16934912,327,572,298,569
16936960,327,572,298,569
16939264,327,572,298,569
16941568,327,572,298,569
16942592,327,572,298,569
16943872,327,572,298,569
16946432,327,572,298,569
16948480,327,572,298,569
16950528,327,572,298,569
16952320,327,572,298,569
16953344,327,572,298,569
16954880,327,572,298,569
16957440,327,572,298,569
16958464,327,572,298,569
16960000,327,572,298,569
16961792,327,572,298,569
16963584,327,572,298,569
16965120,327,572,298,569
16967680,327,572,298,569
16969728,327,572,298,569
16971520,327,572,298,569
16973312,327,572,298,569
16975360,327,572,298,569
16977664,327,572,298,569
16979968,327,572,298,569
16981760,327,572,298,569
16982784,327,572,298,569
16985600,327,572,298,569
16987392,327,572,298,569
16989440,327,572,298,569
16991232,327,572,298,569
16992512,327,572,298,569
16994048,327,572,298,569
16996352,327,572,298,569
16998400,327,572,298,569
17000192,327,572,298,569
17001472,327,572,298,569
